region	chromStart	chromEnd	type	strand	pre	post	description
1	1524	2051	intergenic	\N	dnaN	dnaA	\N
2	3260	3279	intergenic	\N	recF	dnaN	\N
3	4997	5122	promoter	+	gyrB	Rv0004	promoter_gyrB-gyrA
4	7267	7301	intergenic	\N	gyrA	gyrB	\N
5	9818	9913	intergenic	\N	Rv0007	gyrA	\N
6	10828	10886	intergenic	\N	Rvnt01	Rv0007	\N
7	10960	11111	intergenic	\N	Rvnt02	Rvnt01	\N
8	11184	11873	intergenic	\N	Rv0008c	Rvnt02	\N
9	12311	12467	intergenic	\N	ppiA	Rv0008c	\N
10	13016	13132	intergenic	\N	Rv0010c	ppiA	\N
11	13558	13713	intergenic	\N	Rv0011c	Rv0010c	\N
12	13995	14088	intergenic	\N	Rv0012	Rv0011c	\N
13	14877	14913	intergenic	\N	trpG	Rv0012	\N
14	23181	23269	intergenic	\N	Rv0019c	ppp	\N
15	23737	23860	intergenic	\N	TB39.8	Rv0019c	\N
16	25444	25643	intergenic	\N	Rvnt03	TB39.8	\N
17	25726	25912	intergenic	\N	Rv0021c	Rvnt03	\N
18	26881	27022	intergenic	\N	whiB5	Rv0021c	\N
19	27442	27594	intergenic	\N	Rv0023	whiB5	\N
20	29207	29244	intergenic	\N	Rv0025	Rv0024	\N
21	29607	29721	intergenic	\N	Rv0026	Rv0025	\N
22	31068	31188	intergenic	\N	Rv0027	Rv0026	\N
23	31506	31513	intergenic	\N	Rv0028	Rv0027	\N
24	31819	32056	intergenic	\N	Rv0029	Rv0028	\N
25	33154	33223	intergenic	\N	Rv0030	Rv0029	\N
26	33553	33581	intergenic	\N	Rv0031	Rv0030	\N
27	33794	34294	intergenic	\N	bioF2	Rv0031	\N
28	38947	39055	intergenic	\N	Rv0036c	fadD34	\N
29	39829	39876	intergenic	\N	Rv0037c	Rv0036c	\N
30	41202	41303	intergenic	\N	Rv0038	Rv0037c	\N
31	41912	42003	intergenic	\N	Rv0039c	Rv0038	\N
32	42351	42432	intergenic	\N	mtc28	Rv0039c	\N
33	43365	43561	intergenic	\N	leuS	mtc28	\N
34	46471	46580	intergenic	\N	Rv0042c	leuS	\N
35	47207	47365	intergenic	\N	Rv0043c	Rv0042c	\N
36	48100	48232	intergenic	\N	Rv0044c	Rv0043c	\N
37	49027	49042	intergenic	\N	Rv0045c	Rv0044c	\N
38	49939	50020	intergenic	\N	ino1	Rv0045c	\N
39	51124	51184	intergenic	\N	Rv0047c	ino1	\N
40	51727	51827	intergenic	\N	Rv0048c	Rv0047c	\N
41	52697	52830	intergenic	\N	Rv0049	Rv0048c	\N
42	53244	53662	intergenic	\N	ponA1	Rv0049	\N
43	57378	57409	intergenic	\N	Rv0052	Rv0051	\N
44	57973	58191	intergenic	\N	rpsF	Rv0052	\N
45	58482	58585	intergenic	\N	ssb	rpsF	\N
46	59080	59121	intergenic	\N	rpsR1	ssb	\N
47	59376	59408	intergenic	\N	rplI	rpsR1	\N
48	59867	59895	intergenic	\N	Rv0057	rplI	\N
49	63020	63199	intergenic	\N	Rv0059	dnaB	\N
50	63892	63908	intergenic	\N	Rv0060	Rv0059	\N
51	64967	64990	intergenic	\N	Rv0061	Rv0060	\N
52	65416	65551	intergenic	\N	celA1	Rv0061	\N
53	66694	66922	intergenic	\N	Rv0063	celA1	\N
54	68362	68619	intergenic	\N	Rv0064	Rv0063	\N
55	71559	71820	intergenic	\N	Rv0065	Rv0064	\N
56	72222	72273	intergenic	\N	icd2	Rv0065	\N
57	74511	74628	intergenic	\N	Rv0067c	icd2	\N
58	75198	75300	intergenic	\N	Rv0068	Rv0067c	\N
59	76212	76236	intergenic	\N	sdaA	Rv0068	\N
60	78896	79485	intergenic	\N	Rv0071	glyA2	\N
61	80193	80623	intergenic	\N	Rv0072	Rv0071	\N
62	81673	81675	intergenic	\N	Rv0073	Rv0072	\N
