name	symbol	synonym	length	chromStart	chromEnd	strand	description	chrom	goterms	ecnums	kegg	pathways	cogs	pfams	operons
Rv0001	dnaA		1524	0	1524	+	chromosomal replication initiator protein	chr					COG:L	PF00308.10,PF08299.3	dnaA-dnaA
Rv0002	dnaN		1209	2051	3260	+	DNA polymerase III beta chain	chr	GO:0003887	EC:2.7.7.7	KEGG:03030,KEGG:00230,KEGG:00240		COG:L	PF00712.11,PF02767.8,PF02768.7	dnaN-Rv0004
Rv0003	recF		1158	3279	4437	+	DNA replication and repair protein	chr					COG:L	PF02463.11	dnaN-Rv0004
Rv0004			564	4433	4997	+	conserved hypothetical protein	chr					COG:R	PF05258.4	dnaN-Rv0004
Rv0005	gyrB		2145	5122	7267	+	DNA gyrase subunit B	chr	GO:0003918	EC:5.99.1.3			COG:L	PF00204.17,PF00986.13,PF01751.14,PF02518.18	gyrB-gyrA
Rv0006	gyrA		2517	7301	9818	+	DNA gyrase subunit A	chr	GO:0003918	EC:5.99.1.3			COG:L	PF00521.12,PF03989.5	gyrB-gyrA
Rv0007			915	9913	10828	+	conserved membrane protein	chr							Rv0007-Rv0007
Rv0008c		Rv0008	438	11873	12311	-	membrane protein	chr							Rv0008c-Rv0008c
Rv0009	ppiA		549	12467	13016	+	iron-regulated peptidyl-prolyl-cis-trans-isomerase A	chr					COG:O	PF00160.13	ppiA-ppiA
Rv0010c		Rv0010	426	13132	13558	-	conserved membrane protein	chr							Rv0010c-Rv0010c
Rv0011c		Rv0011	282	13713	13995	-	conserved membrane protein	chr						PF06781.4	Rv0011c-Rv0011c
Rv0012			789	14088	14877	+	conserved membrane protein	chr					COG:S	PF05949.4	Rv0012-trpG
Rv0013	trpG		699	14913	15612	+	anthranilate synthase component II	chr		EC:6.3.5.8,EC:4.1.3.27	KEGG:00400,KEGG:00790,KEGG:02020	PWY:FOLSYN-PWY	COG:E,COG:H	PF00117.20	Rv0012-trpG
Rv0014c	pknB	Rv0014	1881	15589	17470	-	transmembrane serine/threonine-protein kinase B	chr					COG:K,COG:T,COG:S,COG:L,COG:R	PF00069.17,PF03793.11	pknB-ppp
